latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
46.47242,-48.48585,327.59,1.14,1.07,2024-05-21,0016,T,100,6.1NRT,279.59,36.93,N
-34.83647,118.08296,335.17,2.27,1.46,2024-05-21,0102,T,89,6.1NRT,279.73,126.87,D
-34.83361,118.07796,328.97,2.27,1.46,2024-05-21,0102,T,82,6.1NRT,279.51,97.96,D
51.09563,135.12186,334.23,3,1.65,2024-05-21,0037,T,89,6.1NRT,293.15,162.91,D
51.09463,135.11586,335.01,3,1.65,2024-05-21,0037,T,89,6.1NRT,293.84,166.71,D
51.0799,135.11615,310.15,3,1.65,2024-05-21,0037,T,25,6.1NRT,291.41,38.15,D
51.06667,135.07452,335.9,3.02,1.65,2024-05-21,0037,T,90,6.1NRT,295.91,176.18,D
51.06522,135.11534,323.75,3,1.65,2024-05-21,0037,T,83,6.1NRT,292.55,98.82,D
50.10673,135.21556,309.95,2.91,1.63,2024-05-21,0039,T,49,6.1NRT,292.6,37.3,D
50.06017,135.29175,309.88,2.88,1.62,2024-05-21,0039,T,39,6.1NRT,290.86,36.46,D
50.04596,135.2854,315.65,2.88,1.62,2024-05-21,0039,T,75,6.1NRT,292.53,58.59,D
49.91628,135.91103,310.1,2.66,1.57,2024-05-21,0039,T,70,6.1NRT,293.13,29.39,D
49.92499,135.90402,308.75,2.66,1.57,2024-05-21,0039,T,60,6.1NRT,292.33,24.59,D
49.18383,133.2964,301.74,3.62,1.78,2024-05-21,0039,T,13,6.1NRT,287.85,21.28,D
49.19017,133.29089,302.32,3.62,1.78,2024-05-21,0039,T,27,6.1NRT,288.86,24.92,D
49.11139,134.34334,305.83,3.18,1.69,2024-05-21,0039,T,62,6.1NRT,293.22,20.93,D
48.77749,139.9966,307.86,1.59,1.24,2024-05-21,0039,T,39,6.1NRT,294.51,9.65,D
48.76469,140.01624,308.47,1.58,1.24,2024-05-21,0039,T,40,6.1NRT,296.46,10.44,D
48.92202,135.01743,319.64,2.91,1.63,2024-05-21,0039,T,62,6.1NRT,296.38,60.66,D
48.92039,135.05664,322.43,2.9,1.62,2024-05-21,0039,T,78,6.1NRT,294.18,73.26,D
48.90754,135.01588,320.97,2.91,1.63,2024-05-21,0039,T,56,6.1NRT,295.06,65.45,D
48.90594,135.0551,327.98,2.9,1.62,2024-05-21,0039,T,82,6.1NRT,294.72,100.8,D
27.24981,140.88411,316.46,1.01,1,2024-05-21,0043,T,66,6.1NRT,299.09,9.92,D
-11.41755,130.56383,322.91,1.04,1.02,2024-05-21,0054,T,65,6.1NRT,297.92,15.72,D
-11.4301,130.64772,309.13,1.03,1.02,2024-05-21,0054,T,39,6.1NRT,297.69,4.71,D
-11.46549,130.57576,315.99,1.04,1.02,2024-05-21,0054,T,29,6.1NRT,298.06,8.24,D
-11.57809,130.52713,316.61,1.04,1.02,2024-05-21,0054,T,36,6.1NRT,300.55,7.62,D
-12.17782,133.74907,313.4,1.13,1.06,2024-05-21,0054,T,63,6.1NRT,298.77,7.9,D
-12.21113,133.92203,310.13,1.15,1.07,2024-05-21,0054,T,44,6.1NRT,298.54,4.99,D
-12.21255,133.93239,315.37,1.15,1.07,2024-05-21,0054,T,68,6.1NRT,299.31,10.45,D
-12.24775,133.94247,310.66,1.15,1.07,2024-05-21,0054,T,56,6.1NRT,298.69,5.88,D
-12.25724,133.94113,310.14,1.15,1.07,2024-05-21,0054,T,51,6.1NRT,298.64,5.5,D
-12.31227,133.84917,312.39,1.14,1.06,2024-05-21,0054,T,61,6.1NRT,299,7.03,D
-12.27668,133.52408,309.98,1.1,1.05,2024-05-21,0054,T,52,6.1NRT,298.77,5.1,D
-12.32747,133.88933,312.45,1.15,1.07,2024-05-21,0054,T,61,6.1NRT,298.37,6.84,D
-12.33034,133.91005,312.7,1.15,1.07,2024-05-21,0054,T,56,6.1NRT,297.94,6.75,D
-12.35698,133.78459,316.45,1.13,1.06,2024-05-21,0054,T,70,6.1NRT,298.83,10.73,D
-12.38757,133.93843,310.69,1.16,1.07,2024-05-21,0054,T,48,6.1NRT,298.2,5.21,D
-12.34894,133.5179,331.55,1.1,1.05,2024-05-21,0054,T,85,6.1NRT,300.5,28.52,D
-12.35033,133.52792,332.52,1.1,1.05,2024-05-21,0054,T,86,6.1NRT,299.95,30.16,D
-12.39517,133.85272,313.21,1.14,1.07,2024-05-21,0054,T,64,6.1NRT,297.98,8.2,D
-12.35966,133.52676,320.75,1.1,1.05,2024-05-21,0054,T,75,6.1NRT,298.77,15.4,D
-12.42354,133.81059,317.25,1.14,1.06,2024-05-21,0054,T,71,6.1NRT,297.71,13.07,D
-12.41037,133.50288,312.47,1.1,1.05,2024-05-21,0054,T,62,6.1NRT,298.91,7.64,D
-12.41174,133.51285,313.29,1.1,1.05,2024-05-21,0054,T,64,6.1NRT,298.5,8.22,D
-12.45889,133.85834,310.95,1.15,1.07,2024-05-21,0054,T,57,6.1NRT,298.65,6.61,D
-12.23422,132.1795,313.23,1.01,1,2024-05-21,0054,T,63,6.1NRT,298.54,7.25,D
-12.23552,132.1886,314.86,1.01,1,2024-05-21,0054,T,67,6.1NRT,299.16,8.38,D
-12.37663,132.92459,327.6,1.05,1.02,2024-05-21,0054,T,82,6.1NRT,301.86,20.2,D
-12.38438,132.91754,337.27,1.05,1.02,2024-05-21,0054,T,89,6.1NRT,304.07,34.04,D
-12.38569,132.92705,331.42,1.05,1.02,2024-05-21,0054,T,71,6.1NRT,302.08,25.17,D
-12.52669,133.8219,311.1,1.14,1.07,2024-05-21,0054,T,58,6.1NRT,298.38,7.04,D
-12.47975,133.40651,319.55,1.1,1.04,2024-05-21,0054,T,61,6.1NRT,300.66,11.86,D
-12.48903,133.40529,328.6,1.1,1.04,2024-05-21,0054,T,77,6.1NRT,299.83,22.16,D
-12.55283,133.66165,312.88,1.12,1.06,2024-05-21,0054,T,63,6.1NRT,299.47,7.39,D
-12.53457,133.34196,317.06,1.09,1.04,2024-05-21,0054,T,53,6.1NRT,300.32,10.6,D
-12.54247,133.33081,311.14,1.09,1.04,2024-05-21,0054,T,27,6.1NRT,299.15,5.71,D
-12.54381,133.34067,319.07,1.09,1.04,2024-05-21,0054,T,73,6.1NRT,299.15,13.21,D
-12.4932,132.90532,319.37,1.05,1.02,2024-05-21,0054,T,74,6.1NRT,301.29,12.26,D
-12.61185,133.77208,311.26,1.14,1.06,2024-05-21,0054,T,58,6.1NRT,299.13,6.9,D
-12.28838,131.40239,316.63,1,1,2024-05-21,0054,T,71,6.1NRT,300.85,8.41,D
-12.68423,133.87837,311.65,1.16,1.07,2024-05-21,0054,T,60,6.1NRT,298.72,6.55,D
-12.5987,133.19397,309.3,1.08,1.04,2024-05-21,0054,T,45,6.1NRT,297.8,4.68,D
-12.31014,131.10669,315.35,1.01,1,2024-05-21,0054,T,69,6.1NRT,298.89,9.38,D
