latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
51.09563,135.12186,334.23,3,1.65,2024-05-21,0037,T,89,6.1NRT,293.15,162.91,D
51.09463,135.11586,335.01,3,1.65,2024-05-21,0037,T,89,6.1NRT,293.84,166.71,D
51.0799,135.11615,310.15,3,1.65,2024-05-21,0037,T,25,6.1NRT,291.41,38.15,D
51.06667,135.07452,335.9,3.02,1.65,2024-05-21,0037,T,90,6.1NRT,295.91,176.18,D
51.06522,135.11534,323.75,3,1.65,2024-05-21,0037,T,83,6.1NRT,292.55,98.82,D
50.10673,135.21556,309.95,2.91,1.63,2024-05-21,0039,T,49,6.1NRT,292.6,37.3,D
50.06017,135.29175,309.88,2.88,1.62,2024-05-21,0039,T,39,6.1NRT,290.86,36.46,D
50.04596,135.2854,315.65,2.88,1.62,2024-05-21,0039,T,75,6.1NRT,292.53,58.59,D
49.91628,135.91103,310.1,2.66,1.57,2024-05-21,0039,T,70,6.1NRT,293.13,29.39,D
49.92499,135.90402,308.75,2.66,1.57,2024-05-21,0039,T,60,6.1NRT,292.33,24.59,D
49.18383,133.2964,301.74,3.62,1.78,2024-05-21,0039,T,13,6.1NRT,287.85,21.28,D
49.19017,133.29089,302.32,3.62,1.78,2024-05-21,0039,T,27,6.1NRT,288.86,24.92,D
49.11139,134.34334,305.83,3.18,1.69,2024-05-21,0039,T,62,6.1NRT,293.22,20.93,D
48.77749,139.9966,307.86,1.59,1.24,2024-05-21,0039,T,39,6.1NRT,294.51,9.65,D
48.76469,140.01624,308.47,1.58,1.24,2024-05-21,0039,T,40,6.1NRT,296.46,10.44,D
48.92202,135.01743,319.64,2.91,1.63,2024-05-21,0039,T,62,6.1NRT,296.38,60.66,D
48.92039,135.05664,322.43,2.9,1.62,2024-05-21,0039,T,78,6.1NRT,294.18,73.26,D
48.90754,135.01588,320.97,2.91,1.63,2024-05-21,0039,T,56,6.1NRT,295.06,65.45,D
48.90594,135.0551,327.98,2.9,1.62,2024-05-21,0039,T,82,6.1NRT,294.72,100.8,D
27.24981,140.88411,316.46,1.01,1,2024-05-21,0043,T,66,6.1NRT,299.09,9.92,D
54.16832,37.71987,316.73,1.16,1.07,2024-05-21,0039,A,94,6.1NRT,279.55,23.66,N
52.5572,39.57386,300.5,1.46,1.2,2024-05-21,0039,A,29,6.1NRT,284.32,11.81,N
52.5443,39.63493,303.21,1.47,1.2,2024-05-21,0039,A,34,6.1NRT,285.06,13.07,N
52.53417,39.62912,305.97,1.47,1.2,2024-05-21,0039,A,62,6.1NRT,283.26,16.33,N
51.13837,37.94254,301.91,1.36,1.16,2024-05-21,0041,A,45,6.1NRT,281.54,12.9,N
50.29021,36.94436,302.58,1.3,1.13,2024-05-21,0041,A,50,6.1NRT,279.72,12.62,N
14.99343,120.21897,315.94,2.65,1.56,2024-05-21,0226,T,35,6.1NRT,287.65,33.15,D
13.42589,120.47037,310.19,2.99,1.64,2024-05-21,0226,T,23,6.1NRT,291.01,31.27,D
