"STATION","NAME","DATE","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-01","15.0","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-02","16.1","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-03","13.3","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-04","16.1","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-05","16.7","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-06","12.8","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-07","12.8","5.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-08","13.3","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-09","13.9","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-10","13.3","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-11","12.8","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-12","12.2","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-13","12.8","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-14","15.0","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-15","15.0","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-16","13.9","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-17","15.0","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-18","14.4","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-19","13.3","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-20","14.4","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-21","16.1","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-22","15.0","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-23","15.6","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-24","15.0","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-25","15.6","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-26","16.7","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-27","17.2","11.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-28","20.0","13.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-29","22.8","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-30","18.9","12.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-01-31","15.6","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-01","15.6","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-02","14.4","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-03","12.8","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-04","16.1","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2024-02-05","13.9","10.0"
