"STATION","NAME","DATE","PRCP"
"USW00025333","SITKA AIRPORT, AK US","2024-01-01","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-02","0.3"
"USW00025333","SITKA AIRPORT, AK US","2024-01-03","7.1"
"USW00025333","SITKA AIRPORT, AK US","2024-01-04","15.2"
"USW00025333","SITKA AIRPORT, AK US","2024-01-05","0.5"
"USW00025333","SITKA AIRPORT, AK US","2024-01-06","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-07","0.8"
"USW00025333","SITKA AIRPORT, AK US","2024-01-08","0.8"
"USW00025333","SITKA AIRPORT, AK US","2024-01-09","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-10","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-11","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-12","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-13","4.3"
"USW00025333","SITKA AIRPORT, AK US","2024-01-14","7.4"
"USW00025333","SITKA AIRPORT, AK US","2024-01-15","59.7"
"USW00025333","SITKA AIRPORT, AK US","2024-01-16","0.3"
"USW00025333","SITKA AIRPORT, AK US","2024-01-17","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-18","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-19","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-20","1.5"
"USW00025333","SITKA AIRPORT, AK US","2024-01-21","25.4"
"USW00025333","SITKA AIRPORT, AK US","2024-01-22","30.2"
"USW00025333","SITKA AIRPORT, AK US","2024-01-23","9.1"
"USW00025333","SITKA AIRPORT, AK US","2024-01-24","1.3"
"USW00025333","SITKA AIRPORT, AK US","2024-01-25","0.5"
"USW00025333","SITKA AIRPORT, AK US","2024-01-26","16.0"
"USW00025333","SITKA AIRPORT, AK US","2024-01-27","11.4"
"USW00025333","SITKA AIRPORT, AK US","2024-01-28","13.2"
"USW00025333","SITKA AIRPORT, AK US","2024-01-29","79.5"
"USW00025333","SITKA AIRPORT, AK US","2024-01-30","11.7"
"USW00025333","SITKA AIRPORT, AK US","2024-01-31","9.1"
"USW00025333","SITKA AIRPORT, AK US","2024-02-01","0.3"
"USW00025333","SITKA AIRPORT, AK US","2024-02-02","3.6"
"USW00025333","SITKA AIRPORT, AK US","2024-02-03","10.7"
"USW00025333","SITKA AIRPORT, AK US","2024-02-04","12.4"
"USW00025333","SITKA AIRPORT, AK US","2024-02-05","1.8"
"USW00025333","SITKA AIRPORT, AK US","2024-02-06","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-07","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-08","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-09","7.1"
"USW00025333","SITKA AIRPORT, AK US","2024-02-10","2.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-11","13.5"
"USW00025333","SITKA AIRPORT, AK US","2024-02-12","0.3"
"USW00025333","SITKA AIRPORT, AK US","2024-02-13","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-14","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-15","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-16","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-17","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-18","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-19","1.5"
"USW00025333","SITKA AIRPORT, AK US","2024-02-20","0.5"
"USW00025333","SITKA AIRPORT, AK US","2024-02-21","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-22","29.7"
"USW00025333","SITKA AIRPORT, AK US","2024-02-23","4.3"
"USW00025333","SITKA AIRPORT, AK US","2024-02-24","1.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-25","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-26","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-02-27","3.3"
"USW00025333","SITKA AIRPORT, AK US","2024-02-28","3.3"
"USW00025333","SITKA AIRPORT, AK US","2024-02-29","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-01","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-02","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-03","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-04","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-05","0.3"
"USW00025333","SITKA AIRPORT, AK US","2024-03-06","17.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-07","5.6"
"USW00025333","SITKA AIRPORT, AK US","2024-03-08","25.7"
"USW00025333","SITKA AIRPORT, AK US","2024-03-09","7.6"
"USW00025333","SITKA AIRPORT, AK US","2024-03-10","8.1"
"USW00025333","SITKA AIRPORT, AK US","2024-03-11","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-12","11.7"
"USW00025333","SITKA AIRPORT, AK US","2024-03-13","22.1"
"USW00025333","SITKA AIRPORT, AK US","2024-03-14","7.4"
"USW00025333","SITKA AIRPORT, AK US","2024-03-15","11.2"
"USW00025333","SITKA AIRPORT, AK US","2024-03-16","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-17","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-18","3.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-19","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-20","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-21","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-22","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-23","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-24","1.5"
"USW00025333","SITKA AIRPORT, AK US","2024-03-25","2.5"
"USW00025333","SITKA AIRPORT, AK US","2024-03-26","6.6"
"USW00025333","SITKA AIRPORT, AK US","2024-03-27","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-28","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-29","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-03-30","2.3"
"USW00025333","SITKA AIRPORT, AK US","2024-03-31","8.1"
